manufacturer,manufacturerLabel,countryLabel,headquartersLabel,coordinates
http://www.wikidata.org/entity/Q2308012,Q2308012,Франция,Мольсем,
http://www.wikidata.org/entity/Q2308012,Q2308012,Франция,Дорлисайм,
http://www.wikidata.org/entity/Q26678,Q26678,Германия,Мюнхен,
http://www.wikidata.org/entity/Q9380476,Q9380476,Польша,Калиш,
http://www.wikidata.org/entity/Q262737,ABC Motors,Великобритания,Хершам,
http://www.wikidata.org/entity/Q19606251,Academy of Aerospace Liquid Propulsion Technology,Китай,Чанъань,
http://www.wikidata.org/entity/Q16164270,Alfa Romeo Avio,Италия,Помильяно-д'Арко,
http://www.wikidata.org/entity/Q15957753,Anzani,Италия,Курбевуа,
http://www.wikidata.org/entity/Q15957753,Anzani,Великобритания,Курбевуа,
http://www.wikidata.org/entity/Q15957753,Anzani,Франция,Курбевуа,
http://www.wikidata.org/entity/Q544408,Argus Motoren,Германия,Райниккендорф,Point(13.359221306 52.578151077)
http://www.wikidata.org/entity/Q544408,Argus Motoren,Германский рейх,Райниккендорф,Point(13.359221306 52.578151077)
http://www.wikidata.org/entity/Q19951610,ArianeGroup,Франция,Ле-Мюро,
http://www.wikidata.org/entity/Q19951610,ArianeGroup,Германия,Ле-Мюро,
http://www.wikidata.org/entity/Q689325,Armstrong Siddeley,Великобритания,Ковентри,
http://www.wikidata.org/entity/Q783818,Austro Engine,Австрия,Винер-Нойштадт,
http://www.wikidata.org/entity/Q791069,Avio,Италия,Коллеферро,
http://www.wikidata.org/entity/Q795426,BARD Holding,Германия,Эмден,
http://www.wikidata.org/entity/Q4891523,Bergen Engines,Норвегия,Берген,
http://www.wikidata.org/entity/Q891797,Bombardier Recreational Products,Канада,Монреаль,
http://www.wikidata.org/entity/Q530523,Bristol Siddeley,Великобритания,Филтон,
http://www.wikidata.org/entity/Q1069840,Chenard-Walcker,Франция,Женвилье,
http://www.wikidata.org/entity/Q5167745,Cooper-Bessemer Corporation,США,,
http://www.wikidata.org/entity/Q2602885,Crossley Motors,Великобритания,Манчестер,
http://www.wikidata.org/entity/Q5204857,DESA,Иран,Тегеран,
http://www.wikidata.org/entity/Q2207737,De Industrie,Нидерланды,,
http://www.wikidata.org/entity/Q30297940,Deployable Space Systems,США,Голита,
http://www.wikidata.org/entity/Q1201531,Detroit Diesel,США,Детройт,
http://www.wikidata.org/entity/Q131651761,Enpulsion,Австрия,Швехат,
http://www.wikidata.org/entity/Q656469,Europrop International,Германия,Мюнхен,
http://www.wikidata.org/entity/Q3083238,Française de Mécanique,Франция,Дуврен,
http://www.wikidata.org/entity/Q64141720,Frontier Aerospace,США,Сими-Валли,
http://www.wikidata.org/entity/Q1313737,Fuhrländer,Германия,Либеншайд,
http://www.wikidata.org/entity/Q15050549,GAZ-45,Россия,,
http://www.wikidata.org/entity/Q5513251,GE Aerospace,США,King of Prussia,
http://www.wikidata.org/entity/Q30292220,GE Renewable Energy (Germany),Германия,Зальцберген,
http://www.wikidata.org/entity/Q42916742,Gamesa,Испания,Самудио,
http://www.wikidata.org/entity/Q5526315,Gas Turbine Research Establishment,Индия,,Point(77.591666666 12.978888888)
http://www.wikidata.org/entity/Q81965,General Motors,США,Детройт,
http://www.wikidata.org/entity/Q17053670,Godrej & Boyce,Индия,Мумбаи,
http://www.wikidata.org/entity/Q16184260,HD Hyundai Infracore,Республика Корея,Инчхон,
http://www.wikidata.org/entity/Q5642546,Hall-Scott,США,Беркли,
http://www.wikidata.org/entity/Q370337,Hiro Naval Arsenal,Япония,,
http://www.wikidata.org/entity/Q826738,Hirth aircraft engines,Германия,Штутгарт,
http://www.wikidata.org/entity/Q11223969,IHI Aerospace,Япония,Томиока,
http://www.wikidata.org/entity/Q136649890,Inversion Space,США,Лос-Анджелес,
http://www.wikidata.org/entity/Q1328738,Isotta Fraschini Motori,Италия,Бари,
http://www.wikidata.org/entity/Q1713670,Junkers Motorenbau und Junkers Flugzeugwerk,Германский рейх,Дессау,
http://www.wikidata.org/entity/Q17112014,KHD Humboldt Wedag,Германия,Кёльн,
http://www.wikidata.org/entity/Q6414061,Kinner Airplane & Motor Corporation,США,Глендейл,
http://www.wikidata.org/entity/Q1429537,L. Gardner and Sons,Великобритания,,
http://www.wikidata.org/entity/Q1429537,L. Gardner and Sons,Соединённое королевство Великобритании и Ирландии,,
http://www.wikidata.org/entity/Q12032407,LOM Praha,Чехия,Прага,
http://www.wikidata.org/entity/Q48772158,LandSpace,Китай,Пекин,
http://www.wikidata.org/entity/Q6503731,Lawrance Aero Engine Company,США,,
http://www.wikidata.org/entity/Q1825353,Limbach,Германия,Кёнигсвинтер,
http://www.wikidata.org/entity/Q6710567,Lyulka,СССР,Москва,
http://www.wikidata.org/entity/Q1305423,MAN Engines,США,Германия,
http://www.wikidata.org/entity/Q63829663,MHI Vestas Offshore Wind,Дания,Орхус,
http://www.wikidata.org/entity/Q6772485,Marquardt Corporation,США,Лос-Анджелес,
http://www.wikidata.org/entity/Q6772485,Marquardt Corporation,США,Ван-Найс,
http://www.wikidata.org/entity/Q6907265,Moog Inc.,США,Elma,
http://www.wikidata.org/entity/Q474908,Motorenfabrik Oberursel,Германский рейх,Дармштадт,Point(8.567823 50.211364)
http://www.wikidata.org/entity/Q474908,Motorenfabrik Oberursel,Германский рейх,Оберурзель,Point(8.567823 50.211364)
http://www.wikidata.org/entity/Q1629753,National Aeronautical Company,Италия,,
http://www.wikidata.org/entity/Q3014558,Naval Air Weapons Station China Lake,США,,Point(-117.691944444 35.685555555)
http://www.wikidata.org/entity/Q1974037,Nedwind,Нидерланды,,
http://www.wikidata.org/entity/Q48774715,Orbital Propulsion Centre,Германия,Lampoldshausen,Point(9.373857651 49.282388418)
http://www.wikidata.org/entity/Q21076153,PLD Space,Испания,Эльче,
http://www.wikidata.org/entity/Q9380477,PZL Rzeszów,Польша,Жешув,
http://www.wikidata.org/entity/Q833266,Panasonic Corporation,Япония,,
http://www.wikidata.org/entity/Q3373231,Paxman,Великобритания,,
http://www.wikidata.org/entity/Q98669624,RED aircraft GmbH,Германия,Аденау,
http://www.wikidata.org/entity/Q3421537,Reaction Motors,США,,
http://www.wikidata.org/entity/Q54263821,Relativity Space,США,Лос-Анджелес,
http://www.wikidata.org/entity/Q54263821,Relativity Space,США,Сиэтл,
http://www.wikidata.org/entity/Q54263821,Relativity Space,США,Лонг-Бич,
http://www.wikidata.org/entity/Q54263821,Relativity Space,США,Инглвуд,
http://www.wikidata.org/entity/Q98584518,Renault,Франция,Булонь-Бийанкур,
http://www.wikidata.org/entity/Q7337143,Rocketdyne,США,Лос-Анджелес,
http://www.wikidata.org/entity/Q4500864,Rolls-Royce North America,США,Рестон,
http://www.wikidata.org/entity/Q783941,Rolls-Royce Turbomeca Limited,Великобритания,,
http://www.wikidata.org/entity/Q696808,Rotax,Канада,Гунскирхен,
http://www.wikidata.org/entity/Q15137132,Ruston Proctor,Великобритания,,
http://www.wikidata.org/entity/Q1931670,Safran Power Units,Франция,Тулуза,
